6.288,5.492,4.072,3.675,3.065,3.065,4.456,4.207,3.003,3.662,1.929,2.378,4.686,6.275,3.085,3.63,2.592,3.058,5.679,4.056,4.395,3.526,5.085,4.147,5.945,4.339,4.544,3.666,4.605,2.785,4.774,4.524,2.806,3.063,4.283,3.372,3.951,2.843,5.964,2.811,4.282,4.875,4.319,3.853,3.297,3.926,4.469,5.846,5.356,5.277,3.833,2.038,6.387,5.135,4.252,5.243,4.14,4.015,4.222,4.573,2.537,1.445,5.286,5.868,4.537,4.565,3.9,0.576,4.165,5.79,5.343,3.484,4.255,3.861,5.65,3.015,5.804,3.816,4.464,3.778,3.205,6.065,2.853,1.513,3.993,2.632,3.574,5.362,2.219,4.521,3.873,3.34,2.434,0.237,3.226,1.83,3.37,3.383,1.247,3.702
2.11,3.119,4.009,5.92,6.536,5.356,0.967,3.351,1.921,4.925,1.655,2.435,3.967,6.544,1.002,4.054,4.559,6.546,4.298,4.001,2.786,6.353,2.802,5.696,5.403,2.562,3.74,6.362,4.18,6.132,3.74,3.579,3.603,3.768,4.543,3.146,8.974,4.336,0.76,3.81,6.182,5.526,5.494,6.583,1.573,3.06,2.282,4.227,5.878,5.768,6.156,3.175,4.143,4.25,3.159,2.907,3.093,4.518,5.189,4.821,4.919,5.424,3.638,1.984,5.412,3.842,3.361,4.561,6.234,3.283,2.6,2.608,3.648,3.301,1.198,4.329,4.735,5.633,3.64,5.622,2.771,3.64,3.694,4.127,3.009,2.317,3.664,4.251,2.633,4.226,4.599,4.793,5.615,3.1,5.822,2.977,3.924,4.54,3.333,3.623
6.479,3.19,3.404,3.581,7.724,4.24,4.0,2.58,5.729,2.753,3.156,4.535,3.744,4.709,4.606,5.887,6.45,4.245,3.246,3.616,5.368,3.804,5.013,4.375,3.115,4.11,3.82,3.288,4.637,4.356,6.012,3.136,6.477,5.486,3.115,4.147,5.107,3.781,3.039,3.68,3.602,3.231,4.134,4.13,3.113,4.046,3.811,1.539,4.374,3.389,4.372,4.602,3.761,3.92,7.603,6.592,3.018,4.095,3.823,3.812,1.926,3.624,6.298,5.043,3.819,5.566,2.751,3.979,5.576,4.177,3.266,7.547,4.475,4.141,3.029,5.04,2.878,5.656,3.345,6.619,3.556,4.549,4.385,1.488,4.361,6.319,6.401,3.641,2.082,5.731,5.285,3.253,3.537,3.999,5.443,3.894,2.859,3.249,2.488,3.077
3.388,4.119,6.008,2.731,4.236,5.049,3.439,3.872,4.978,6.062,2.826,6.293,2.856,5.614,4.012,5.469,1.824,4.45,7.216,4.415,3.023,2.833,4.387,6.108,2.987,3.308,3.264,3.191,2.564,4.082,3.659,5.545,3.677,5.387,7.259,4.354,7.035,5.48,3.871,4.392,4.494,4.62,4.427,5.833,3.903,3.693,5.11,4.968,1.153,4.502,4.397,3.923,3.532,2.888,3.066,4.534,4.673,5.457,4.349,5.581,3.043,3.498,4.916,4.387,3.541,3.302,7.002,7.046,4.335,4.072,2.821,5.703,3.856,2.621,1.935,6.232,3.677,4.477,5.375,5.105,2.93,6.584,3.169,3.974,3.898,4.491,3.218,4.136,4.394,3.228,5.974,4.209,2.599,2.137,7.259,1.773,3.007,4.337,4.247,3.692
3.17,5.388,5.614,5.664,4.004,6.148,2.718,3.48,3.401,6.234,1.337,3.233,4.562,2.678,4.52,5.124,5.134,3.674,1.834,3.177,2.623,5.851,2.822,4.595,3.346,4.139,3.735,2.941,3.668,5.877,4.312,1.641,2.638,3.296,3.746,5.479,6.343,3.829,2.761,6.805,2.692,1.891,6.478,4.662,2.96,4.561,4.493,5.164,5.587,4.244,4.192,2.905,6.015,5.005,3.516,4.061,5.85,2.667,3.307,4.459,4.323,3.398,3.649,4.33,2.345,3.234,4.221,5.998,5.29,3.465,3.895,4.005,3.657,3.755,5.396,2.652,4.09,3.336,5.321,3.168,2.229,6.253,4.141,4.499,4.758,6.661,3.517,4.421,4.987,4.177,1.073,4.352,2.765,1.338,5.578,3.581,0.535,6.412,3.964,4.221
0.874,6.364,2.655,3.497,5.87,3.477,3.382,3.169,4.124,4.606,2.866,4.507,2.92,4.772,2.932,2.969,3.248,3.395,5.429,4.521,3.102,3.916,3.199,3.975,3.147,5.682,5.92,4.137,4.55,4.363,4.43,4.457,4.24,3.34,4.531,2.924,3.46,4.046,5.673,5.699,4.333,4.546,4.487,4.56,3.935,6.398,2.961,3.766,6.277,3.288,3.719,3.618,4.194,2.454,2.765,4.492,5.369,2.137,3.616,4.032,3.033,4.77,2.432,3.592,3.438,4.46,3.033,5.605,4.039,3.942,2.312,3.189,4.514,2.76,3.404,3.125,2.374,3.007,5.805,4.839,3.011,5.607,3.529,4.334,3.593,0.784,3.177,4.483,6.118,6.068,3.124,4.474,2.837,4.553,5.19,3.547,8.16,4.987,3.223,3.75
4.017,3.763,5.189,2.035,5.673,3.436,1.733,4.115,4.59,3.688,4.633,4.707,1.52,4.577,3.678,3.257,5.325,2.938,2.48,2.758,3.486,4.433,1.975,3.211,3.347,7.281,3.062,3.28,3.251,6.085,3.985,2.816,4.697,4.564,3.879,5.156,4.408,5.016,3.535,3.51,3.053,4.188,4.93,2.71,2.938,3.47,4.577,3.272,3.53,4.162,6.292,2.957,6.011,3.781,1.088,4.485,3.116,4.318,6.692,4.271,6.504,5.097,1.842,3.504,6.122,4.581,3.015,3.282,3.538,1.624,2.96,6.474,2.603,3.21,2.809,5.781,2.531,4.277,6.235,5.416,1.499,1.757,2.629,3.411,5.349,2.723,2.979,3.128,3.507,4.912,5.891,3.68,5.203,3.175,3.038,2.688,4.883,2.316,3.007,4.754
5.404,3.292,3.472,6.39,1.632,5.463,4.59,6.148,3.618,0.864,5.748,4.014,4.571,2.962,5.774,2.211,2.632,3.92,2.937,4.197,5.884,3.069,4.514,3.43,5.31,3.144,3.312,3.857,3.599,4.595,6.152,5.597,4.005,1.109,3.351,3.058,2.907,5.703,3.297,4.39,3.074,4.606,5.175,2.171,0.821,4.454,3.892,3.128,4.821,3.944,5.81,5.405,3.736,4.191,5.594,5.371,3.803,3.922,4.933,5.6,4.645,3.461,5.704,2.817,4.84,5.489,3.058,6.124,5.609,3.738,4.596,2.97,5.644,4.296,3.178,3.899,3.128,3.261,3.321,4.168,3.603,4.546,3.67,2.822,2.326,3.513,3.988,3.744,3.224,3.204,3.742,3.367,4.956,4.327,3.773,4.56,3.837,2.86,3.754,3.326
4.379,4.393,5.474,4.255,3.974,2.913,4.762,4.219,3.301,4.285,4.601,2.721,3.43,3.994,3.848,2.399,7.054,2.923,4.556,4.756,3.363,6.375,2.72,5.581,3.03,3.122,6.197,3.479,4.076,4.033,4.869,6.622,3.832,2.935,3.853,5.335,4.12,6.714,3.532,6.281,2.083,3.878,5.961,6.523,1.534,4.333,7.511,6.384,2.803,3.603,6.36,4.509,5.898,4.151,8.14,5.977,3.141,2.48,4.165,5.659,3.254,3.683,4.561,3.461,3.933,4.583,2.782,3.153,3.546,3.639,6.516,4.322,4.54,1.139,3.863,2.999,3.884,3.755,4.511,5.744,5.335,5.218,4.582,5.069,5.267,5.055,3.944,3.537,4.238,2.883,6.804,4.492,3.332,3.306,3.838,2.735,4.486,5.446,5.141,3.835
3.298,5.646,5.017,3.845,4.118,3.095,4.493,3.899,6.063,5.318,3.868,2.605,0.414,3.18,3.678,2.705,3.225,2.676,3.967,4.631,2.708,3.061,2.943,3.773,3.711,4.555,5.807,2.897,3.581,3.189,3.457,4.425,4.251,7.289,4.45,4.422,3.269,5.599,4.02,3.844,1.628,4.527,4.602,4.047,3.237,4.534,4.025,4.19,7.311,4.432,5.811,4.51,4.167,4.485,4.256,4.106,2.107,5.702,2.705,6.351,3.303,4.963,3.903,3.691,3.702,3.935,7.676,3.606,2.539,3.254,5.132,5.564,4.022,2.767,5.463,5.229,3.196,3.205,3.839,1.334,4.409,6.541,4.068,3.544,6.354,3.772,3.254,0.391,3.809,3.844,1.731,2.605,4.64,5.738,3.254,4.337,3.856,3.952,3.888,1.348
4.373,3.55,6.126,4.608,5.453,5.353,3.903,5.838,4.19,4.543,2.935,4.623,1.289,4.391,4.944,4.435,3.972,2.882,4.571,4.851,2.74,2.845,4.559,2.106,5.576,4.213,6.101,3.166,2.721,3.159,4.04,4.223,3.547,3.942,4.53,5.293,2.943,2.752,3.244,3.539,3.997,3.56,4.147,2.994,5.609,4.107,3.757,3.805,6.015,5.914,2.929,4.294,3.99,6.592,4.533,4.104,2.35,4.366,4.409,5.997,5.702,4.661,3.411,4.532,3.122,5.708,5.435,4.51,3.6,5.96,5.633,1.318,4.167,4.18,1.573,5.326,4.234,3.764,5.83,5.572,4.491,3.84,0.887,4.345,4.305,3.361,7.061,3.643,4.451,2.989,3.904,6.483,6.742,3.18,4.012,3.743,5.052,7.691,3.419,3.44
